id,Facility_Name,Business_Type,Registration_Number,License_Status,Rel,Facility Registration Number,License Number,Ownership,License Type,Establishment Year,Street,Town,County,First Name,Last Name,Email,Name Based Email,Facility Based Email,Varied Email,Realistic Email,Emails
87,ADONISI PHARMACEUTICALS (Nairobi),RETAIL,PPB/A/1674,Active,MTY4NzI=,PPB/A/1674,BU202309210,SOLE PROPRIETOR,RETAIL,2017,BREWERIES,,Nairobi,Miriam,Khisa,adonisi.pharmaceuticals.nairobi@gmail.com,miriam.khisa@yahoo.com,adonisi.pharmaceutic@yahoo.com,miriam@yahoo.com,miriam@yahoo.com,miriam@yahoo.com
100,AFRILIFE CHEMIST LTD (BURUBURU) (Nairobi),RETAIL,PPB/A/1907,Active,MjA2Njc=,PPB/A/1907,BU202300914,PRIVATE COMPANY (LIMITED),RETAIL,2015,MUMIAS,,Nairobi,Priscilla,Ngui,afrilife.chemist.ltd.buruburu.nairobi@yahoo.com,priscilla.ngui@gmail.com,afrilife.chemist.ltd@yahoo.com,priscilla@gmail.com,acnair@yahoo.com,acnair@yahoo.com
113,AFYACARE PHARMA (Nairobi),RETAIL,PPB/A/475,Active,MjU3NA==,PPB/A/475,BU202302164,SOLE PROPRIETOR,RETAIL,2013,OUTERING ROAD,,Nairobi,Aaron,Musila,afyacare.pharma.nairobi@yahoo.com,aaron.musila@gmail.com,afyacare.pharma..nai@gmail.com,apphar@gmail.com,apnair@yahoo.com,apnair@yahoo.com
126,"AGA KHAN HEALTH  SERVICES,KENYA-RUAI (Nairobi)",RETAIL,PPB/A/152 D,Active,NDc0OQ==,PPB/A/152 D,BU202305551,SOLE PROPRIETOR,RETAIL,2014,KANGUNDO,,Nairobi,Peter,Musyoka,aga.khan.health.serviceskenyaruai.nairobi@yahoo.com,peter.musyoka@yahoo.com,aga.khan.health.serv@yahoo.com,akkhan@yahoo.com,peterr@gmail.com,peterr@gmail.com
127,"AGA KHAN HEALTH SERVICES,KENYA - HOMA BAY (Nairobi)",RETAIL,PPB/A/507,Active,Mzg5NQ==,PPB/A/507,BU202300371,PRIVATE COMPANY (LIMITED),RETAIL,2015,,,Nairobi,Phoebe,Kiptoo,aga.khan.health.serviceskenya..homa.bay.nairobi@yahoo.com,phoebe.kiptoo@gmail.com,aga.khan.health.serv@yahoo.com,akkhan@yahoo.com,aknair@yahoo.com,aknair@yahoo.com
130,AGAROSE PHARMACY (Nairobi),RETAIL,PPB/A/1969,Active,MjQxNjc=,PPB/A/1969,BU202304987,PARTNERSHIP,RETAIL,2021,SPINE ROAD,,Nairobi,Jonathan,Ratemo,agarose.pharmacy.nairobi@gmail.com,jonathan.ratemo@gmail.com,agarose.pharmacy..na@gmail.com,apphar@gmail.com,apnair@gmail.com,apnair@gmail.com
134,AGMART PHARMACEUTICALS-MUHOHO AVENUE (Nairobi),RETAIL,PPB/A/1763,Active,MTgyNjQ=,PPB/A/1763,BU202307124,SOLE PROPRIETOR,RETAIL,2018,MUHOHO AVENUE,,Nairobi,Seth,Mwanzia,agmart.pharmaceuticalsmuhoho.avenue.nairobi@yahoo.com,seth.mwanzia@yahoo.com,agmart.pharmaceutica@yahoo.com,apphar@yahoo.com,apnair@yahoo.com,apnair@yahoo.com
143,AHWAN PHARMACEUTICALS LIMITED (Nairobi),RETAIL,PPB/A/1895,Active,MjA0MTk=,PPB/A/1895,BU202305457,PRIVATE COMPANY (LIMITED),RETAIL,2020,3RD PARKLANDS AVENUE,,Nairobi,Bartholomew,Ngugi,ahwan.pharmaceuticals.limited.nairobi@gmail.com,bartholomew.ngugi@yahoo.com,ahwan.pharmaceutical@gmail.com,apphar@gmail.com,apnair@gmail.com,apnair@gmail.com
144,AHZAAB PHARMACY (Nairobi),RETAIL,PPB/A/1829,Active,MTkyMDI=,PPB/A/1829,BU202301263,SOLE PROPRIETOR,RETAIL,2018,MAJOR MURIITHI STREET,,Nairobi,Lydia,Nanjala,ahzaab.pharmacy.nairobi@yahoo.com,lydia.nanjala@yahoo.com,ahzaab.pharmacy..nai@gmail.com,nanjala@yahoo.com,apnair@gmail.com,apnair@gmail.com
153,AJWA PHARMACEUTICALS LIMITED (Nairobi),RETAIL,PPB/A/2079,Active,MjU4ODU=,PPB/A/2079,BU202301963,PARTNERSHIP,RETAIL,2021,AGOI RD PANGANI,,Nairobi,David,Mutua,ajwa.pharmaceuticals.limited.nairobi@yahoo.com,david.mutua@yahoo.com,ajwa.pharmaceuticals@gmail.com,apphar@gmail.com,davidr@gmail.com,davidr@gmail.com
158,AKIMA PHARMACY (Nairobi),RETAIL,PPB/A/1528,Active,NjE4NA==,PPB/A/1528,BU202301909,SOLE PROPRIETOR,RETAIL,2015,KAMITI ROAD,,Nairobi,Sarah,Wekesa,akima.pharmacy.nairobi@gmail.com,sarah.wekesa@yahoo.com,akima.pharmacy..nair@yahoo.com,sarah1@gmail.com,apnair@yahoo.com,apnair@yahoo.com
169,AL-AQSA DISPENSING CHEMIST (Nairobi),RETAIL,PPB/A/238,Active,MTc3Mg==,PPB/A/238,BU202305720,SOLE PROPRIETOR,RETAIL,2013,2ND AVENUE,,Nairobi,Philip,Kipsang,alaqsa.dispensing.chemist.nairobi@gmail.com,philip.kipsang@yahoo.com,al.aqsa.dispensing.c@yahoo.com,addisp@gmail.com,philip55@gmail.com,philip55@gmail.com
173,AL-HANAF PHARMACY (Nairobi),RETAIL,PPB/A/1938,REVOKED,MjMzMzU=,PPB/A/1938,BU202303802,PARTNERSHIP,RETAIL,2019,HOMBE RD,,Nairobi,Solomon,Wainaina,alhanaf.pharmacy.nairobi@gmail.com,solomon.wainaina@gmail.com,al.hanaf.pharmacy..n@gmail.com,solomon@gmail.com,apnair@gmail.com,apnair@gmail.com
174,AL-HARAMAIN PHARMACEUTICAL COMPANY LIMITED (Nairobi),RETAIL,PPB/A/448,Active,MTE5Ng==,PPB/A/448,BU202303519,SOLE PROPRIETOR,RETAIL,2021,7TH STREET,,Nairobi,Ethan,Muli,alharamain.pharmaceutical.company.limited.nairobi@gmail.com,ethan.muli@gmail.com,al.haramain.pharmace@yahoo.com,apphar@yahoo.com,apnair@yahoo.com,apnair@yahoo.com
182,ALANE PHARMACY LTD (Nairobi),RETAIL,PPB/A/183,Active,MTUzNQ==,PPB/A/183,BU202302911,SOLE PROPRIETOR,RETAIL,2015,MUGO KIARIE PARKROAD,,Nairobi,Deborah,Wanjiru,alane.pharmacy.ltd.nairobi@gmail.com,deborah.wanjiru@yahoo.com,alane.pharmacy.ltd@gmail.com,deborah11@yahoo.com,deborahr@yahoo.com,deborahr@yahoo.com
198,ALIF MEDICAL SERVICES LIMITED (Nairobi),RETAIL,PPB/A/1734,Active,MTc4NDE=,PPB/A/1734,BU202307637,PRIVATE COMPANY (LIMITED),RETAIL,2017,5TH STREET,,Nairobi,Caleb,Wanyama,alif.medical.services.limited.nairobi@yahoo.com,caleb.wanyama@gmail.com,alif.medical.service@yahoo.com,ammedi@gmail.com,amnair@yahoo.com,amnair@yahoo.com
204,ALISON AGROCHEM CHEMISTS LIMITED (Nairobi),RETAIL,PPB/A/1794,Active,MTg2NTg=,PPB/A/1794,BU202307634,PRIVATE COMPANY (LIMITED),RETAIL,2017,HUNTERS,,Nairobi,David,Kilonzo,alison.agrochem.chemists.limited.nairobi@gmail.com,david.kilonzo@gmail.com,alison.agrochem.chem@yahoo.com,aaagro@gmail.com,aanair@yahoo.com,aanair@yahoo.com
209,ALKEN PHARMACEUTICAL LTD (Nairobi),RETAIL,PPB/A/1612,Active,NzczMQ==,PPB/A/1612,BU202302355,PRIVATE COMPANY (LIMITED),RETAIL,2016,BAHATI ROAD,,Nairobi,Elizabeth,Musyoka,alken.pharmaceutical.ltd.nairobi@yahoo.com,elizabeth.musyoka@gmail.com,alken.pharmaceutical@yahoo.com,elizabeth29@yahoo.com,apnair@gmail.com,apnair@gmail.com
210,ALKEN PHARMACEUTICAL LTD - B-CENTRE (Nairobi),RETAIL,PPB/A/0524,Active,NTYyMg==,PPB/A/0524,BU202303807,PRIVATE COMPANY (LIMITED),RETAIL,2015,MANYAJA ROAD,,Nairobi,Joshua,Odinga,alken.pharmaceutical.ltd..bcentre.nairobi@gmail.com,joshua.odinga@yahoo.com,alken.pharmaceutical@gmail.com,odinga32@yahoo.com,apnair@yahoo.com,apnair@yahoo.com
212,ALKEN PHARMACEUTICALS LTD (Nairobi),RETAIL,PPB/A/417,Active,Mzg4Mw==,PPB/A/417,BU202302554,SOLE PROPRIETOR,RETAIL,2014,HAMZA RD,,Nairobi,Susannah,Khisa,alken.pharmaceuticals.ltd.nairobi@yahoo.com,susannah.khisa@yahoo.com,alken.pharmaceutical@gmail.com,apphar@yahoo.com,susannahr@yahoo.com,susannahr@yahoo.com
213,ALKEN PHARMACEUTICALS-JOGOO RD (Nairobi),RETAIL,PPB/A/1963,Active,MjM5ODk=,PPB/A/1963,BU202302903,PARTNERSHIP,RETAIL,2013,JOGOO RD,,Nairobi,Caleb,Koech,alken.pharmaceuticalsjogoo.rd.nairobi@gmail.com,caleb.koech@yahoo.com,alken.pharmaceutical@gmail.com,ckoech3@gmail.com,apnair@yahoo.com,apnair@yahoo.com
216,ALLAMED PHARMACEUTICALS LIMITED (Nairobi),RETAIL,PPB/A/309,Active,MTE2MA==,PPB/A/309,BU202307737,PRIVATE COMPANY (LIMITED),RETAIL,2012,PIPELINE NEAR KENYA BUILDERS,,Nairobi,Hannah,Chepkwony,allamed.pharmaceuticals.limited.nairobi@gmail.com,hannah.chepkwony@yahoo.com,allamed.pharmaceutic@yahoo.com,apphar@gmail.com,apnair@gmail.com,apnair@gmail.com
219,ALLGREEN PHARMACEUTICALS (Nairobi),RETAIL,PPB/A/1869,Active,MTk4NTk=,PPB/A/1869,BU202308178,SOLE PROPRIETOR,RETAIL,2019,OFF MUTARAKWA ROAD,,Nairobi,Ezekiel,Kipsang,allgreen.pharmaceuticals.nairobi@gmail.com,ezekiel.kipsang@yahoo.com,allgreen.pharmaceuti@yahoo.com,ekipsang97@gmail.com,ezekiel@gmail.com,ezekiel@gmail.com
221,ALLIUM PHARMACY (Nairobi),RETAIL,PPB/A/1980,Active,MjQzNzc=,PPB/A/1980,BU202305299,SOLE PROPRIETOR,RETAIL,2021,TENA ESTATE,,Nairobi,Bartholomew,Mutua,allium.pharmacy.nairobi@yahoo.com,bartholomew.mutua@gmail.com,allium.pharmacy..nai@gmail.com,mutua@yahoo.com,apnair@yahoo.com,apnair@yahoo.com
224,ALLOPHARM PHARMACY (Nairobi),RETAIL,PPB/A/3092,Active,MzAzMDc=,PPB/A/3092,BU202310728,SOLE PROPRIETOR,RETAIL,2023,BIMA ROAD,,Nairobi,Miriam,Barasa,allopharm.pharmacy.nairobi@yahoo.com,miriam.barasa@yahoo.com,allopharm.pharmacy@yahoo.com,mbarasa7@yahoo.com,apnair@yahoo.com,apnair@yahoo.com
225,ALLPHARM CHEMIST (Nairobi),RETAIL,PPB/A/483,Active,MjY4OA==,PPB/A/483,BU202306446,SOLE PROPRIETOR,RETAIL,2014,GLADYS GIRLS HIGH SCHOOL,,Nairobi,Priscilla,Omari,allpharm.chemist.nairobi@yahoo.com,priscilla.omari@gmail.com,allpharm.chemist..na@gmail.com,pomari20@gmail.com,priscillar@gmail.com,priscillar@gmail.com
229,ALLYWOOD PHARMACY & DISPENSING CHEMIST (Nairobi),RETAIL,PPB/A/1912,Active,MjI5MTU=,PPB/A/1912,BU202306875,SOLE PROPRIETOR,RETAIL,2020,KANGUNDO ROAD,,Nairobi,John,Kivutha,allywood.pharmacy..dispensing.chemist.nairobi@gmail.com,john.kivutha@yahoo.com,allywood.pharmacy@gmail.com,kivutha62@gmail.com,apnair@yahoo.com,apnair@yahoo.com
237,ALMIS PHARMACEUTICAL LIMITED (Nairobi),RETAIL,PPB/A/2077,Active,MjU4NTY=,PPB/A/2077,BU202304278,PRIVATE COMPANY (LIMITED),RETAIL,2021,KIRONGOTHI STREET,,Nairobi,Hannah,Okello,almis.pharmaceutical.limited.nairobi@gmail.com,hannah.okello@gmail.com,almis.pharmaceutical@yahoo.com,apphar@yahoo.com,apnair@gmail.com,apnair@gmail.com
238,ALMOND PHARMACY KABIRIA (Nairobi),RETAIL,PPB/A/2021,Active,MjQ5NjQ=,PPB/A/2021,BU202303146,PRIVATE COMPANY (LIMITED),RETAIL,2014,KABIRIA,,Nairobi,Priscilla,Muli,almond.pharmacy.kabiria.nairobi@yahoo.com,priscilla.muli@gmail.com,almond.pharmacy.kabi@gmail.com,apphar@yahoo.com,priscillar@gmail.com,priscillar@gmail.com
244,ALPHADOSE PHARMACY (Nairobi),RETAIL,PPB/A/1890,Active,MjAzNTA=,PPB/A/1890,BU202309177,PARTNERSHIP,RETAIL,2020,UMOJA THREE STREET,,Nairobi,Peter,Ruto,alphadose.pharmacy.nairobi@yahoo.com,peter.ruto@gmail.com,alphadose.pharmacy@yahoo.com,apphar@gmail.com,apnair@yahoo.com,apnair@yahoo.com
246,ALPHAMED DESPENSING CHEMIST (Nairobi),RETAIL,PPB/A/508,Active,Mzk3MA==,PPB/A/508,BU202301350,SOLE PROPRIETOR,RETAIL,2015,UTAWALA-GITHUNGURI RD,,Nairobi,Barnabas,Cheruiyot,alphamed.despensing.chemist.nairobi@yahoo.com,barnabas.cheruiyot@yahoo.com,alphamed.despensing@gmail.com,bcheruiyot89@yahoo.com,adnair@yahoo.com,adnair@yahoo.com
248,ALPRECO DISPENSING CHEMIST (Nairobi),RETAIL,PPB/A/1871,Active,MTk5MDE=,PPB/A/1871,BU202309477,PARTNERSHIP,RETAIL,2019,MOI DRIVE,,Nairobi,Mary,Nyakundi,alpreco.dispensing.chemist.nairobi@gmail.com,mary.nyakundi@yahoo.com,alpreco.dispensing.c@yahoo.com,addisp@gmail.com,mary@yahoo.com,mary@yahoo.com
253,ALTITUDE PHARMACY,RETAIL,PPB/A/3077,Active,Mjk5ODk=,PPB/A/3077,BU202310407,SOLE PROPRIETOR,RETAIL,2023,NAIROBI KARATINA HIGHWAY,,Nairobi,Abigail,Odinga,altitude.pharmacy@yahoo.com,abigail.odinga@yahoo.com,altitude.pharmacy@yahoo.com,apphar@yahoo.com,abigail@yahoo.com,abigail@yahoo.com
255,ALUMIX HEALTHCARE LIMITED - (Nairobi),RETAIL,PPB/A/1723,TEMP_REVOK,MTc2NzQ=,PPB/A/1723,BU202308953,PRIVATE COMPANY (LIMITED),RETAIL,2017,,,Nairobi,Abraham,Okello,alumix.healthcare.limited..nairobi@yahoo.com,abraham.okello@yahoo.com,alumix.healthcare.li@gmail.com,aokello@yahoo.com,ahnair@yahoo.com,ahnair@yahoo.com
258,ALVODEV PHARMACEUTICALS LIMITED (Nairobi),RETAIL,PPB/A/1971,Active,MjQxOTY=,PPB/A/1971,BU202302801,PRIVATE COMPANY (LIMITED),RETAIL,2021,MARKET ROAD,,Nairobi,Abigail,Kariuki,alvodev.pharmaceuticals.limited.nairobi@yahoo.com,abigail.kariuki@yahoo.com,alvodev.pharmaceutic@yahoo.com,apphar@gmail.com,abigail13@yahoo.com,abigail13@yahoo.com
266,AMARANDA PHARMACY (Nairobi),RETAIL,PPB/A/1965,Active,MjQwNjM=,PPB/A/1965,BU202307857,SOLE PROPRIETOR,RETAIL,2021,CHURCH ROAD,,Nairobi,Samuel,Kariuki,amaranda.pharmacy.nairobi@yahoo.com,samuel.kariuki@gmail.com,amaranda.pharmacy..n@yahoo.com,apphar@gmail.com,samuel67@yahoo.com,samuel67@yahoo.com
277,AMICARE CHEMISTS (Nairobi),RETAIL,PPB/A/1742,Active,MTc5MzE=,PPB/A/1742,BU202302666,SOLE PROPRIETOR,RETAIL,2018,SPINE ROAD,,Nairobi,Matthew,Mwanzia,amicare.chemists.nairobi@yahoo.com,matthew.mwanzia@yahoo.com,amicare.chemists..na@gmail.com,acchem@yahoo.com,acnair@gmail.com,acnair@gmail.com
282,AMIST CHEMISTS LIMITED (Nairobi),RETAIL,PPB/A/1769,Active,MTgzNjY=,PPB/A/1769,BU202307967,PRIVATE COMPANY (LIMITED),RETAIL,2018,OLE SHAPARA ROAD,,Nairobi,Esther,Kipruto,amist.chemists.limited.nairobi@gmail.com,esther.kipruto@yahoo.com,amist.chemists.limit@gmail.com,acchem@gmail.com,acnair@gmail.com,acnair@gmail.com
302,ANDRON CHEMIST (Nairobi),RETAIL,PPB/A/942,Active,NTc3Mw==,PPB/A/942,BU202303584,PARTNERSHIP,RETAIL,2015,KASARANI MWIKI ROAD,,Nairobi,Ruth,Mochoge,andron.chemist.nairobi@yahoo.com,ruth.mochoge@yahoo.com,andron.chemist..nair@yahoo.com,rmochoge@gmail.com,ruthr@yahoo.com,ruthr@yahoo.com
309,ANGELIC STAR PHARMACY (Nairobi),RETAIL,PPB/A/2020,Active,MjQ5NTU=,PPB/A/2020,BU202308312,SOLE PROPRIETOR,RETAIL,2021,MOI DRIVE,,Nairobi,Grace,Lusaka,angelic.star.pharmacy.nairobi@yahoo.com,grace.lusaka@yahoo.com,angelic.star.pharmac@gmail.com,asstar@yahoo.com,asnair@gmail.com,asnair@gmail.com
315,ANGRAC COMPANY LIMITED (Nairobi),RETAIL,PPB/A/1877,Active,MjAwNTU=,PPB/A/1877,BU202305285,PARTNERSHIP,RETAIL,2018,KIAMBU ROAD,,Nairobi,Martha,Muthama,angrac.company.limited.nairobi@yahoo.com,martha.muthama@gmail.com,angrac.company.limit@yahoo.com,accomp@gmail.com,acnair@gmail.com,acnair@gmail.com
317,ANISAH CHEMIST (Nairobi),RETAIL,PPB/A/1915,Active,MjI5NDA=,PPB/A/1915,BU202307003,SOLE PROPRIETOR,RETAIL,2020,OUTERING ROAD,,Nairobi,Zachary,Monyancha,anisah.chemist.nairobi@gmail.com,zachary.monyancha@yahoo.com,anisah.chemist..nair@yahoo.com,zmonyancha97@gmail.com,acnair@gmail.com,acnair@gmail.com
318,ANIVCARE HEALTH PHARMACY (Nairobi),RETAIL,PPB/A/2022,Active,MjUwMTc=,PPB/A/2022,BU202302859,SOLE PROPRIETOR,RETAIL,2021,MANYANJA STREET,,Nairobi,Luke,Wanyama,anivcare.health.pharmacy.nairobi@yahoo.com,luke.wanyama@yahoo.com,anivcare.health.phar@yahoo.com,wanyama@gmail.com,ahnair@yahoo.com,ahnair@yahoo.com
320,ANMARC CHEMIST (Nairobi),RETAIL,PPB/A/2005,Active,MjQ3NzQ=,PPB/A/2005,BU202309649,SOLE PROPRIETOR,RETAIL,2021,KIBIKU,,Nairobi,Ethan,Monyancha,anmarc.chemist.nairobi@gmail.com,ethan.monyancha@yahoo.com,anmarc.chemist..nair@gmail.com,acchem@yahoo.com,acnair@yahoo.com,acnair@yahoo.com
327,ANNOINTED PHARMACEUTICALS LTD-MUTHIGA STAGE (Nairobi),RETAIL,PPB/A/1530,Active,NjE4OQ==,PPB/A/1530,BU202301631,PRIVATE COMPANY (LIMITED),RETAIL,2015,UHURU ROAD,,Nairobi,Elisha,Odinga,annointed.pharmaceuticals.ltdmuthiga.stage.nairobi@yahoo.com,elisha.odinga@yahoo.com,annointed.pharmaceut@yahoo.com,odinga@gmail.com,elishar@gmail.com,elishar@gmail.com
336,ANTOCHEM PHARMACY (Nairobi),RETAIL,PPB/A/254,Active,NDMyNw==,PPB/A/254,BU202308883,SOLE PROPRIETOR,RETAIL,2013,MOI DRIVE,,Nairobi,Mary,Ouma,antochem.pharmacy.nairobi@yahoo.com,mary.ouma@gmail.com,antochem.pharmacy..n@gmail.com,mouma@gmail.com,mary@gmail.com,mary@gmail.com
337,ANTONIO MEMZCHEMIST (Nairobi),RETAIL,PPB/A/1872,Active,MTk5MTI=,PPB/A/1872,BU202302119,SOLE PROPRIETOR,RETAIL,2019,MUTUINI,,Nairobi,Daniel,Cheruiyot,antonio.memzchemist.nairobi@yahoo.com,daniel.cheruiyot@yahoo.com,antonio.memzchemist@gmail.com,ammemz@gmail.com,amnair@yahoo.com,amnair@yahoo.com
342,APOCARE PHARMACY LIMITED (Nairobi),RETAIL,PPB/A/1880,Active,MjAxOTQ=,PPB/A/1880,BU202300219,PRIVATE COMPANY (LIMITED),RETAIL,2019,THIRD PARKLANDS AVENUE,,Nairobi,Hannah,Kisilu,apocare.pharmacy.limited.nairobi@yahoo.com,hannah.kisilu@yahoo.com,apocare.pharmacy.lim@gmail.com,apphar@yahoo.com,hannah@yahoo.com,hannah@yahoo.com
344,APOLLO MEDICARE(K) LTD (Nairobi),RETAIL,PPB/A/264,Active,NTU2OA==,PPB/A/264,BU202309081,PRIVATE COMPANY (LIMITED),RETAIL,2011,MARKET ROAD,,Nairobi,Tabitha,Kilonzo,apollo.medicarek.ltd.nairobi@gmail.com,tabitha.kilonzo@gmail.com,apollo.medicare.k..l@yahoo.com,kilonzo@gmail.com,tabitha48@yahoo.com,tabitha48@yahoo.com
345,APOLO HEALTHCARE-NAIROBI (Nairobi),RETAIL,PPB/A/0368,Active,MjQzNA==,PPB/A/0368,BU202307784,PRIVATE COMPANY (LIMITED),RETAIL,2012,KIPKAPUS  ROAD,,Nairobi,Deborah,Mogaka,apolo.healthcarenairobi.nairobi@yahoo.com,deborah.mogaka@gmail.com,apolo.healthcare.nai@yahoo.com,deborah6@gmail.com,deborahr@yahoo.com,deborahr@yahoo.com
349,APPLEGENE PHARMACY LTD (Nairobi),RETAIL,PPB/A/117,Active,NDA1Mg==,PPB/A/117,BU202303155,PRIVATE COMPANY (LIMITED),RETAIL,2003,LANGATA RD,,Nairobi,Joshua,Mochoge,applegene.pharmacy.ltd.nairobi@yahoo.com,joshua.mochoge@gmail.com,applegene.pharmacy.l@yahoo.com,joshua54@gmail.com,joshua76@yahoo.com,joshua76@yahoo.com
